index,Cuartos,Baños,GARAGE,Area,Construido,Año,Dis_Cento,Dis_Escuela,Precio,Direccion,Ult_venta
0,4,2,2.0,600,160,2003.0,18300,0.8283385518162787,565000,1 Acorn Place,"09-2018"
1,3,2,2.0,351,139,2013.0,26900,5.524324354371822,365000,1 Addis Way,"02-2019"
2,3,1,1.0,719,86,1979.0,22600,1.649178183366986,287000,1 Ainsley Court,"06-2015"
3,2,1,2.0,651,59,1953.0,17900,1.5714009366124688,255000,1 Albert Street,"07-2018"
4,4,1,2.0,466,131,1998.0,11200,1.5149216294528034,325000,1 Aman Place,"11-2016"
5,4,2,1.0,759,118,1991.0,27300,1.227219194399204,409000,1 Amethyst Crescent,"03-2013"
6,3,2,2.0,386,132,2014.0,28200,2.485730857063224,400000,1 Ardara Lane,"05-2016"
7,4,2,2.0,468,158,2013.0,41700,0.4915731383363828,370000,1 Arnside Bend,"03-2019"
8,4,2,3.0,875,168,1983.0,12100,1.2219275931111655,565000,1 Arrochar Court,"06-2020"
9,3,2,8.0,552,126,1999.0,5900,0.936243264888652,685000,1 Arundel Street,"10-2019"
10,4,2,6.0,2538,241,1977.0,22900,0.4964007594795787,675000,1 Ash Road,"07-2014"
11,3,2,2.0,398,158,2003.0,36300,0.6808433268155856,367500,1 Ashcott Gate,"11-2018"
12,3,2,2.0,243,94,2008.0,11500,0.1893503137159569,300000,1 Ashcroft Way,"12-2019"
13,4,2,4.0,704,247,2002.0,23100,2.2206426655498723,535000,1 Ashendon Boulevard,"07-2019"
14,4,2,2.0,614,186,2004.0,13100,3.2343986089606025,540000,1 Ashtree Boulevard,"05-2018"
15,3,2,3.0,706,196,1985.0,12500,1.1833626029374116,685000,1 August Court,"11-2017"
16,4,2,2.0,663,154,1994.0,36700,14.013548390601851,350000,1 Avonlea Place,"11-2017"
17,4,2,2.0,568,225,2003.0,15300,2.746772139797852,570000,1 Babbler Court,"10-2020"
18,2,1,3.0,751,90,1959.0,18100,1.8592465386914536,318000,1 Balga Place,"05-2013"
19,3,2,3.0,785,167,1977.0,25400,1.3641957547366643,379000,1 Bamlett Street,"08-2017"
20,4,1,1.0,782,111,1981.0,23300,4.204627996200461,387500,1 Banken Court,"04-2017"
21,4,2,2.0,450,173,2000.0,20700,0.7471080892276758,465000,1 Barcroft Court,"08-2017"
22,3,1,1.0,421,93,1972.0,11800,1.930504981792736,325000,1 Bates Loop,"08-2014"
23,3,2,2.0,388,160,2007.0,25000,3.141444909009006,515000,1 Batoni Way,"09-2014"
24,3,1,1.0,550,121,1920.0,14600,0.5195732638053656,610000,1 Bayley Street,"04-2013"
